Flow Out Of a State By From State and Pipeline,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Capacity (mmcfd),Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,
Southwest Gas Transmission Co,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,
Arkansas,"20,007","19,547","17,156","16,398","15,648","15,648","15,648","15,648","15,648","13,648","12,681","12,681","12,681","12,681","12,681","12,681","12,681","12,681","12,681","12,936","12,936","12,936","12,938","12,936","12,936","1,350"
Louisiana,"4,605","4,605","2,214","1,456",706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,
ANR Pipeline Co,"1,150","1,150",750,750,,,,,,,,,,,,,,,,,,,,,,
"Enable Gas Transmission, LLC",156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,
"Enable Mississippi River Transmission, LLC",550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,
Tennessee Gas Pipeline Co,"1,707","1,707",,,,,,,,,,,,,,,,,,,,,,,,
Texas Gas Transmission Co,"1,042","1,042",758,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,"11,411","11,411","11,411","11,411","11,411","11,411","11,411","11,411","11,411","9,411","8,444","8,444","8,444","8,444","8,444","8,444","8,444","8,444","8,444","8,699","8,699","8,699","8,699","8,699","8,699","1,350"
ANR Pipeline Co,"1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,350"
Fayetteville Express Pipeline,"2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tennessee Gas Pipeline Co,"1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573",
Texas Gas Transmission Co,"4,810","4,810","4,810","4,810","4,810","4,810","4,810","4,810","4,810","4,810","3,843","3,843","3,843","3,843","3,843","3,843","3,843","3,843","3,843","3,843","3,843","3,843","3,843","3,843","3,843",
Trunkline Gas Co,"1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,853","1,853","1,853","1,853","1,853","1,853",
Missouri,"2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,763","2,761","2,761",
"Enable Gas Transmission, LLC",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
"Enable Mississippi River Transmission, LLC",730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,
Nat Gas P L Co Of America,"1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574",
NOARK Pipeline System,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,35,33,33,
Texas Eastern Trans Corp,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,
Oklahoma,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
Arkansas Oklahoma Gas Corp,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
Texas,"1,210",750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,
"Enable Gas Transmission, LLC",150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,
Nat Gas P L Co Of America,"1,060",600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
British Columbia,"4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,417","4,417","4,210","4,210","4,210","4,210","4,136","4,055","4,021","3,940",
Idaho,"2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,534","2,534","2,534","2,534","2,460","2,460","2,460","2,460",
Gas Transmission Northwest,"2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,534","2,534","2,534","2,534","2,460","2,460","2,460","2,460",
Washington,"1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,676","1,676","1,676","1,676","1,676","1,676","1,676","1,595","1,561","1,480",
Ferndale P L Co,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,45,
Northwest Pipeline Corp,"1,562","1,562","1,562","1,562","1,562","1,562","1,562","1,562","1,562","1,562","1,562","1,562","1,562","1,562","1,337","1,181","1,181","1,181","1,181","1,181","1,181","1,181","1,100","1,066","1,045",
Sumas Cascade PL Co,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
Sumas Energy Usa Inc,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,
Sumas International Pl Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,225,225,225,225,225,225,225,225,225,225,
California,"1,842","1,842","1,842","1,842","1,842","1,842","1,842","1,842","1,842","1,761","1,761","1,761","1,147","1,147","1,147","1,147","1,147",593,593,193,193,193,168,168,60,
Arizona,695,695,695,695,695,695,695,695,695,614,614,614,0,0,0,0,0,0,0,0,0,0,0,0,0,
North Baja Pipeline Co,695,695,695,695,695,695,695,695,695,614,614,614,0,0,0,0,0,0,0,0,0,0,0,0,0,
California,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
Pacific  Interstate Offshore Co,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
Mexico,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,425,425,25,25,25,0,0,0,
North Baja Pipeline Co,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,
San Diego Gas & Electric Co,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,0,0,0,0,0,0,
Southern California Gas Co,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,
Nevada,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,108,108,108,108,108,108,108,0,
Tuscarora Pipeline Co,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,108,108,108,108,108,108,108,0,
Colorado,"12,141","12,141","12,141","12,141","12,141","12,396","12,396","12,396","12,396","12,246","11,646","8,556","7,848","6,757","6,379","5,485","5,485","4,789","4,706","4,620","4,320","4,180","3,565","3,319","3,266",
Kansas,"1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,429","1,400","1,400","1,126",566,566,566,566,480,480,480,450,450,450,
Cheyenne Plains Pipeline,820,820,820,820,820,820,820,820,820,820,820,730,730,730,560,0,0,0,0,0,0,0,0,0,0,
Colorado Interstate Gas,463,463,463,463,463,463,463,463,463,463,463,463,434,434,330,330,330,330,330,244,244,244,244,244,244,
Southern Star Central Gas PL Co,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,186,186,186,
Tallgrass Interstate Gas Transmission,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
Nebraska,"2,838","2,838","2,838","2,838","2,838","3,093","3,093","3,093","3,093","3,093","2,793","1,293","1,293","1,293","1,293","1,231","1,231",907,907,907,907,907,427,427,427,
Rockies Express Pipeline,"1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tallgrass Interstate Gas Transmission,222,222,222,222,222,477,477,477,477,477,477,477,477,477,477,415,415,415,415,415,415,415,40,40,40,
Trailblazer Pipeline Co,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,492,492,492,492,492,387,387,387,
New Mexico,"1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,720","1,720","1,720","1,720","1,720","1,420","1,280","1,280","1,034",981,
El Paso Nat Gas Co,790,790,790,790,790,790,790,790,790,790,790,790,790,790,790,650,650,650,650,650,650,650,650,650,650,
Raton Gas Transmission Co,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Transcolorado Gas Trans Co,692,692,692,692,692,692,692,692,692,692,692,692,692,692,692,560,560,560,560,560,260,120,120,0,0,
Transwestern Pipeline Co,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,374,321,
Oklahoma,514,514,514,514,514,514,514,514,514,514,514,514,485,485,381,381,381,333,250,250,250,250,250,250,250,
Colorado Interstate Gas,514,514,514,514,514,514,514,514,514,514,514,514,485,485,381,381,381,333,250,250,250,250,250,250,250,
Utah,563,563,563,563,563,563,563,563,563,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,
Northwest Pipeline Corp,308,308,308,308,308,308,308,308,308,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,
Questar P L Co,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,
Wyoming,"4,715","4,715","4,715","4,715","4,715","4,715","4,715","4,715","4,715","4,715","4,415","2,915","2,265","1,174","1,174","1,174","1,174",850,850,850,850,850,745,745,745,
Colorado Interstate Gas,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,
Questar P L Co,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,
Rockies Express Pipeline,"3,200","3,200","3,200","3,200","3,200","3,200","3,200","3,200","3,200","3,200","2,900","1,400",750,0,0,0,0,0,0,0,0,0,0,0,0,
Trailblazer Pipeline Co,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,492,492,492,492,492,387,387,387,
Westgas Interstate Gas,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Wyoming Interstate Co,341,341,341,341,341,341,341,341,341,341,341,341,341,0,0,0,0,0,0,0,0,0,0,0,0,
Connecticut,"2,210","2,117","2,077","1,735","1,735","1,735","1,735","1,735","1,735","1,460","1,360","1,260","1,260","1,260","1,260","1,204","1,204","1,125","1,125","1,125","1,125","1,090","1,090","1,090","1,090",665
Massachusetts,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,
Tennessee Gas Pipeline Co,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,
New York,895,895,895,895,895,895,895,895,895,620,520,420,420,420,420,364,364,285,285,285,285,250,250,250,250,
Algonquin Gas Trans Co,275,275,275,275,275,275,275,275,275,,,,,,,,,,,,,,,,,
Iroquois Pipeline Co,620,620,620,620,620,620,620,620,620,620,520,420,420,420,420,364,364,285,285,285,285,250,250,250,250,
Rhode Island,"1,235","1,142","1,102",760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,665
Algonquin Gas Trans Co,"1,235","1,142","1,102",760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,665
Delaware,163,163,163,163,163,163,163,163,163,163,163,163,163,163,157,157,157,157,157,157,157,156,151,151,151,
Maryland,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,16,16,15,10,10,10,
Eastern Shore Nat Gas Co,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,16,16,15,10,10,10,
New Jersey,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,
Columbia Gas Trans Corp,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,
