Region Outflow Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Capacity (mmcfd),,year,,,,,,,,,,,,,,,,,,,,,,,,,
,Pacific,"13,118","12,936","12,936","12,936","12,936","12,936","12,936","12,936","11,170","11,025","11,025","11,025","11,025","11,025","10,523","10,523","9,448","8,311","8,176","8,176","8,176","8,102","8,089","8,089","8,089",
Mountain Total,,"28,476","28,264","28,264","28,241","28,241","28,295","28,295","28,057","26,291","26,146","25,846","24,256","24,190","24,190","23,235","22,665","21,590","20,138","19,775","18,057","17,979","17,205","16,907","16,907","16,907",0
South Central,Mexico,"9,457","8,324","5,824","5,254","5,114","2,799","2,197","2,197","2,197","2,147","2,147","2,087","2,087","2,087","2,049","2,062","1,667","1,232","1,232",982,797,797,589,589,589,
,Midwest,"21,944","21,944","21,944","21,944","21,944","21,944","21,944","21,944","21,944","21,944","21,644","20,094","20,144","20,119","20,119","19,995","19,928","19,928","20,041","19,806","19,491","19,491","19,217","19,215","19,215",8
,Southeast,"13,058","12,998","12,168","12,168","12,168","12,168","12,168","11,948","10,778","10,653","10,653","10,498","10,498","10,498","10,498","10,307","9,406","7,508","7,291","7,091","7,091","6,914","6,769","6,714","6,064",
,Mountain,"9,642","9,460","9,460","9,460","9,460","9,460","9,460","9,460","9,460","9,460","9,460","9,460","9,428","9,428","9,428","9,108","9,108","8,788","8,788","8,788","8,788","8,788","8,739","8,624","8,624",610
South Central Total,,"54,101","52,726","49,396","48,826","48,686","46,371","45,769","45,549","44,379","44,204","43,904","42,139","42,157","42,132","42,094","41,472","40,109","37,456","37,352","36,667","36,167","35,990","35,314","35,142","34,492",618
Pacific,Canada,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,0,0,0,0,0,
,Mexico,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,425,425,25,25,25,0,0,0,
,Mountain,"1,397","1,397","1,397","1,397","1,397","1,397","1,397","1,397","1,397","1,316","1,316","1,316",702,702,702,702,702,648,648,648,648,648,648,648,530,
Pacific Total,,"2,373","2,373","2,373","2,373","2,373","2,373","2,373","2,373","2,373","2,292","2,292","2,292","1,678","1,678","1,678","1,678","1,678","1,124","1,124",724,673,673,648,648,530,
