Major Pipeline Crossing Multiple State Borders (Capacity in MMcfd),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Pipeline,Segment,State From,State To,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
,ANR Pipeline Co,Northern Central,Max Capacity (Westward - Clockwise),,"1,841","1,610","1,610","1,610","1,610","1,610","1,610","1,610","1,610","1,610","1,610","1,610"
,ANR Pipeline Co,Northern Central,Max Capacity (Eastward - Counterclockwise),,"1,520","1,520","1,520","1,520","1,520","1,520","1,520","1,520","1,520","1,520","1,520","1,520"
,,,,,,,,,,,,,,,,
,Colorado Interstate Gas,RM1,Utah,Colorado,165,165,165,165,165,165,165,165,165,165,165,165
,Colorado Interstate Gas,RM2,Colorado,Wyoming,180,180,180,180,180,180,180,180,180,180,180,180
,Colorado Interstate Gas,RM3,Wyoming,Montana,60,60,60,60,60,60,60,60,60,60,60,60
,Colorado Interstate Gas,RM4,Wyoming,Colorado,625,625,625,625,625,625,625,625,625,625,625,625
,Colorado Interstate Gas,Rocky Mountain Lines,Max Capacity,,625,625,625,625,625,625,625,625,625,625,625,625
,Colorado Interstate Gas,CO1,Colorado,Oklahoma,514,514,514,514,514,514,514,514,514,514,514,514
,Colorado Interstate Gas,CO2,Oklahoma,Texas,284,284,284,284,284,284,284,284,284,284,284,284
,Colorado Interstate Gas,CO3,Colorado,Kansas,463,463,463,463,463,463,463,463,463,463,463,463
,Colorado Interstate Gas,CO4,Kansas,Oklahoma,323,323,323,323,323,323,323,323,323,323,323,323
,Colorado Interstate Gas,CO3 Back,Kansas,Colorado,340,340,340,340,340,340,340,340,340,340,340,340
,Colorado Interstate Gas,CO2 Back,Texas,Oklahoma,200,200,200,200,200,200,200,200,200,200,200,200
,Colorado Interstate Gas,CO1 Back,Oklahoma,Colorado,200,200,200,200,200,200,200,200,200,200,200,200
,Colorado Interstate Gas,Colorado Lines,Max Capacity (Southward),,514,514,514,514,514,514,514,514,514,514,514,514
,Colorado Interstate Gas,Colorado Lines,Max Capacity (Northward),,340,340,340,340,340,340,340,340,340,340,340,340
,,,,,,,,,,,,,,,,
,Columbia Gas Trans Corp,C1,Kentucky,West Virginia,"2,162","2,162","2,162","2,162","2,162","2,162","2,162","2,162","2,162","2,162","2,162","2,162"
,Columbia Gas Trans Corp,C2,West Virginia,Ohio,"3,126",896,896,896,896,896,896,896,896,896,896,896
,Columbia Gas Trans Corp,C3,West Virginia,Pennsylvania,"1,275","1,275","1,275","1,275","1,275","1,275","1,275","1,275","1,275","1,275","1,275","1,275"
,Columbia Gas Trans Corp,C4,West Virginia,Virginia,"2,644","2,144","2,144","2,144","2,144","2,144","2,144","2,144","2,144","2,144","2,144","2,144"
,Columbia Gas Trans Corp,C5,Virginia,Maryland,"1,680","1,180","1,180","1,180","1,180","1,180","1,180","1,180","1,180","1,180","1,180","1,180"
,Columbia Gas Trans Corp,C6,Pennsylvania,Maryland,57,57,57,57,57,57,57,57,57,57,57,57
,Columbia Gas Trans Corp,C7,Pennsylvania,New Jersey,423,423,423,423,261,261,261,261,261,261,261,261
,Columbia Gas Trans Corp,C8,Pennsylvania,New York,281,281,281,281,131,131,131,131,131,131,131,131
,Columbia Gas Trans Corp,C9,Pennsylvania,Delaware,174,174,174,174,174,174,174,174,174,174,174,174
,Columbia Gas Trans Corp,C10,Delaware,New Jersey,141,141,141,141,141,141,141,141,141,141,141,141
,Columbia Gas Trans Corp,C6 Back,Maryland,Pennsylvania,206,206,206,206,206,206,206,206,206,206,206,206
,Columbia Gas Trans Corp,C3 Back,Pennsylvania,West Virginia,"3,880","2,380","2,380","2,380","1,539","1,095","1,095","1,095","1,095","1,095","1,095","1,095"
,Columbia Gas Trans Corp,C1 Back,West Virginia,Kentucky,"1,799","1,799","1,799","1,361",520,520,76,76,76,76,76,76
,Columbia Gas Trans Corp,Columbia Gas System,Max Capacity,,"3,880","2,380","2,380","2,380","2,162","2,162","2,162","2,162","2,162","2,162","2,162","2,162"
,,,,,,,,,,,,,,,,
