State Inflow Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Capacity (mmcfd),,year,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,Massachusetts,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,81,81,81,81,81,81,81,
,New York,"2,918","2,825","2,713","2,371","2,371","2,371","2,371","2,371","2,371","2,371","2,371","1,953","1,953","1,953","1,953","1,723","1,723","1,663","1,650","1,635","1,606","1,571","1,571","1,571","1,503",934
,Rhode Island,275,275,275,275,275,275,275,275,275,,,,,,,,,,,,,,,,,
Connecticut Total,,"3,357","3,264","3,152","2,810","2,810","2,810","2,810","2,810","2,810","2,535","2,535","2,117","2,117","2,117","2,117","1,887","1,887","1,827","1,731","1,716","1,687","1,652","1,652","1,652","1,584",934
Delaware,Maryland,145,145,145,145,145,145,145,145,145,145,145,134,124,98,79,74,74,69,57,57,57,55,55,55,55,
,Pennsylvania,729,729,729,729,625,380,380,380,380,380,380,380,380,380,380,380,380,380,380,372,363,358,358,358,343,
Delaware Total,,874,874,874,874,770,525,525,525,525,525,525,514,504,478,459,454,454,449,437,429,420,413,413,413,398,
District of Columbia,Maryland,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,
,Virginia,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,120,120,120,120,120,120,120,120,120,
District of Columbia Total,,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,200,200,200,200,200,200,200,200,200,
Florida,Alabama,"4,710","4,650","4,650","4,650","4,650","4,650","4,650","4,650","3,699","3,699","3,699","3,544","3,544","3,544","3,544","3,544","3,293","1,865","1,665","1,665","1,665","1,640","1,640","1,640","1,105",
,Georgia,"1,476","1,476",646,411,411,411,411,411,411,411,411,411,56,56,56,56,56,56,56,56,56,56,56,56,56,
Florida Total,,"6,186","6,126","5,296","5,061","5,061","5,061","5,061","5,061","4,110","4,110","4,110","3,955","3,600","3,600","3,600","3,600","3,349","1,921","1,721","1,721","1,721","1,696","1,696","1,696","1,161",
Georgia,Alabama,"8,348","8,348","7,518","7,518","7,518","7,518","7,518","7,298","7,079","6,954","6,954","6,954","6,954","6,954","6,954","6,763","6,113","5,643","5,626","5,426","5,426","5,274","5,129","5,074","4,959",
