Region Inflow Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Capacity (mmcfd),,year,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Total,,"18,459","18,244","18,244","18,244","18,244","18,244","18,244","18,244","18,244","18,163","18,125","18,125","17,463","17,463","17,388","17,068","17,024","16,091","16,091","14,459","14,431","13,657","13,587","13,472","13,354",610
South Central,Gulf of Mexico,"22,671","22,671","22,671","22,671","23,151","23,151","23,151","23,151","23,151","23,151","24,361","24,361","24,361","24,361","24,211","24,202","23,940","23,940","23,902","23,902","23,733","21,483","19,972","18,877","18,477","1,919"
,Mexico,925,925,925,925,925,925,925,925,925,925,925,865,865,865,865,865,865,865,865,350,350,350,350,350,350,
,Midwest,"10,173","10,173","5,672","4,164","2,671","1,571","1,031","1,031","1,031","1,031",581,581,581,581,581,581,581,581,581,581,581,560,560,560,560,
,Southeast,"1,700",975,525,525,,,,,,,,,,,,,,,,,,,,,,
,Mountain,"6,269","6,269","6,269","6,269","6,269","6,524","6,524","6,524","6,524","6,524","6,224","4,634","4,576","4,576","4,198","3,628","3,628","3,580","3,497","3,411","3,411","3,411","3,126","3,126","3,126",
South Central Total,,"41,738","41,013","36,062","34,554","33,016","32,171","31,631","31,631","31,631","31,631","32,091","30,441","30,383","30,383","29,855","29,276","29,014","28,966","28,845","28,244","28,075","25,804","24,008","22,913","22,513","1,919"
Pacific,Canada,"1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,676","1,676","1,676","1,676","1,676","1,676","1,676","1,595","1,561","1,480",
,Mexico,614,614,614,614,614,614,614,614,614,614,614,614,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Mountain,"13,118","12,936","12,936","12,936","12,936","12,936","12,936","12,936","11,170","11,025","11,025","11,025","11,025","11,025","10,523","10,523","9,448","8,311","8,176","8,176","8,176","8,102","8,089","8,089","8,089",
Pacific Total,,"15,564","15,382","15,382","15,382","15,382","15,382","15,382","15,382","13,616","13,471","13,471","13,471","12,857","12,857","12,355","12,199","11,124","9,987","9,852","9,852","9,852","9,778","9,684","9,650","9,569",
