Pipeline,Segment,State From,State To,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
ANR Pipeline Co,NC3 Back,Wisconsin,Illinois,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0
ANR Pipeline Co,NC2 Back,Illinois,Indiana,1384.0,1384.0,1384.0,1384.0,1384.0,1384.0,1384.0,1384.0,1384.0,1384.0,1384.0,1384.0
ANR Pipeline Co,NC1 Back,Indiana,Michigan,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0
Colorado Interstate Gas,RM1,Utah,Colorado,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0
Colorado Interstate Gas,RM2,Colorado,Wyoming,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
Colorado Interstate Gas,RM3,Wyoming,Montana,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Colorado Interstate Gas,RM4,Wyoming,Colorado,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0
Colorado Interstate Gas,CO1,Colorado,Oklahoma,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0
Colorado Interstate Gas,CO2,Oklahoma,Texas,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0
Colorado Interstate Gas,CO3,Colorado,Kansas,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0
Colorado Interstate Gas,CO4,Kansas,Oklahoma,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0
Colorado Interstate Gas,CO3 Back,Kansas,Colorado,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0
Colorado Interstate Gas,CO2 Back,Texas,Oklahoma,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Colorado Interstate Gas,CO1 Back,Oklahoma,Colorado,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Columbia Gas Trans Corp,C1,Kentucky,West Virginia,2162.0,2162.0,2162.0,2162.0,2162.0,2162.0,2162.0,2162.0,2162.0,2162.0,2162.0,2162.0
Columbia Gas Trans Corp,C2,West Virginia,Ohio,3126.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0
Columbia Gas Trans Corp,C3,West Virginia,Pennsylvania,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0
Columbia Gas Trans Corp,C4,West Virginia,Virginia,2644.0,2144.0,2144.0,2144.0,2144.0,2144.0,2144.0,2144.0,2144.0,2144.0,2144.0,2144.0
Columbia Gas Trans Corp,C5,Virginia,Maryland,1680.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0
Columbia Gas Trans Corp,C6,Pennsylvania,Maryland,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
Columbia Gas Trans Corp,C7,Pennsylvania,New Jersey,423.0,423.0,423.0,423.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0
Columbia Gas Trans Corp,C8,Pennsylvania,New York,281.0,281.0,281.0,281.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0
Columbia Gas Trans Corp,C9,Pennsylvania,Delaware,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0
Columbia Gas Trans Corp,C10,Delaware,New Jersey,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0
Columbia Gas Trans Corp,C6 Back,Maryland,Pennsylvania,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0
Columbia Gas Trans Corp,C3 Back,Pennsylvania,West Virginia,3880.0,2380.0,2380.0,2380.0,1539.0,1095.0,1095.0,1095.0,1095.0,1095.0,1095.0,1095.0
Columbia Gas Trans Corp,C1 Back,West Virginia,Kentucky,1799.0,1799.0,1799.0,1361.0,520.0,520.0,76.0,76.0,76.0,76.0,76.0,76.0
Columbia Gulf Trans Co,M1,Gulf of Mexico,Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.0,1210.0
Columbia Gulf Trans Co,M2,Louisiana,Mississippi,2576.0,2576.0,2576.0,2576.0,2576.0,2576.0,2576.0,2576.0,2576.0,2576.0,2576.0,2576.0
Columbia Gulf Trans Co,M3,Mississippi,Tennessee,2268.0,2268.0,2268.0,2268.0,2268.0,2268.0,2268.0,2268.0,2268.0,2268.0,2268.0,2268.0
Columbia Gulf Trans Co,M4,Tennessee,Kentucky,2317.0,2317.0,2317.0,2317.0,2317.0,2317.0,2317.0,2317.0,2317.0,2317.0,2317.0,2317.0
Columbia Gulf Trans Co,M4 Back,Kentucky,Tennessee,1856.0,1856.0,1317.0,908.0,540.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0
Columbia Gulf Trans Co,M3 Back,Tennessee,Mississippi,1852.0,1852.0,1313.0,908.0,540.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominion Cove Point LNG LP,M1,Maryland,Virginia,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,585.0
Dominion Cove Point LNG LP,M1 Back,Virginia,Maryland,1257.0,1257.0,1150.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0
Dominion Transmission Co,M1,West Virginia,Ohio,959.0,959.0,959.0,709.0,709.0,709.0,709.0,709.0,709.0,709.0,709.0,709.0
Dominion Transmission Co,M2,Ohio,Pennsylvania,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0
Dominion Transmission Co,M3,West Virginia,Pennsylvania,1469.0,1469.0,1469.0,1469.0,1469.0,1284.0,1284.0,800.0,800.0,800.0,800.0,800.0
