Marion Natural Gas System Co,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0
Tennessee Gas Pipeline Co,1753.0,1753.0,1450.0,1450.0,1450.0,950.0,950.0,950.0,950.0,950.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0
Texas Eastern Trans Corp,1820.0,1820.0,1320.0,975.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,6687.0,6505.0,6505.0,6505.0,6505.0,6505.0,6505.0,6505.0,6693.0,6612.0,6612.0,6612.0,5998.0,5998.0,5998.0,5678.0,5678.0,5361.0,5361.0,5225.0,5225.0,5225.0,5225.0,5225.0,5225.0,0.0
California,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,614.0,614.0,614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Baja Pipeline Co,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,614.0,614.0,614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico,5992.0,5810.0,5810.0,5810.0,5810.0,5810.0,5810.0,5810.0,5998.0,5998.0,5998.0,5998.0,5998.0,5998.0,5998.0,5678.0,5678.0,5361.0,5361.0,5225.0,5225.0,5225.0,5225.0,5225.0,5225.0,0.0
El Paso Nat Gas Co,4679.0,4497.0,4497.0,4497.0,4497.0,4497.0,4497.0,4497.0,4685.0,4685.0,4685.0,4685.0,4685.0,4685.0,4685.0,4365.0,4365.0,4135.0,4135.0,4135.0,4135.0,4135.0,4135.0,4135.0,4135.0,0.0
Questar Southern Trails Pipeline Co,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transwestern Pipeline Co,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,0.0
