year,Pipeline,Region From,Region To,State From,County From,State To,County To,Capacity (mmcfd),Notes
2018.0,Texas Eastern Trans Corp,South Central,Mexico,Texas,Hidalgo,Mexico,Tamaulipas,431.0,
2018.0,Texas Eastern Trans Corp,Northeast,Intra-regional,West Virginia,Marshall,Ohio,Monroe,2920.0,
2018.0,Texas Eastern Trans Corp,Northeast,Intra-regional,West Virginia,Marshall,Pennsylvania,Greene,3225.0,
2018.0,Texas Gas Transmission Co,South Central,Intra-regional,Arkansas,Ashley,Louisiana,Morehouse,1042.0,Northern Supply Access Project (FERC CP15-513)
2018.0,Texas Gas Transmission Co,South Central,Intra-regional,Arkansas,Phillips,Mississippi,De Soto,4810.0,
2018.0,Texas Gas Transmission Co,Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Louisiana,Vermilion,501.0,
2018.0,Texas Gas Transmission Co,Midwest,Intra-regional,Indiana,Knox,Illinois,Crawford,44.0,
2018.0,Texas Gas Transmission Co,Midwest,Intra-regional,Indiana,Jefferson,Kentucky,Trimble,1042.0,Northern Supply Access Project (FERC CP15-513)
2018.0,Texas Gas Transmission Co,Midwest,Northeast,Indiana,Dearborn,Ohio,Hamilton,1007.0,
2018.0,Texas Gas Transmission Co,Midwest,Intra-regional,Kentucky,Hancock,Indiana,Perry,1510.0,
2018.0,Texas Gas Transmission Co,Midwest,Intra-regional,Kentucky,Henderson,Indiana,Posey,54.0,TGT Southern Indiana Market Lateral FERC Docket CP15-14
2018.0,Texas Gas Transmission Co,Midwest,Intra-regional,Kentucky,Graves,Tennessee,Weakley,1042.0,Northern Supply Access Project (FERC CP15-513)
2018.0,Texas Gas Transmission Co,Midwest,Intra-regional,Kentucky,Simpson,Tennessee,Sumner,25.0,
2018.0,Texas Gas Transmission Co,South Central,Intra-regional,Louisiana,Morehouse,Arkansas,Ashley,2002.0,
2018.0,Texas Gas Transmission Co,South Central,Intra-regional,Mississippi,Washington,Arkansas,Chicot,1042.0,Northern Supply Access Project (FERC CP15-513)
2018.0,Texas Gas Transmission Co,South Central,Midwest,Mississippi,De Soto,Tennessee,Shelby,1980.0,
2018.0,Texas Gas Transmission Co,Northeast,Midwest,Ohio,Hamilton,Indiana,Dearborn,1042.0,Northern Supply Access Project (FERC CP15-513)
2018.0,Texas Gas Transmission Co,Midwest,Intra-regional,Tennessee,Weakley,Kentucky,Graves,1675.0,
2018.0,Texas Gas Transmission Co,Midwest,South Central,Tennessee,Shelby,Mississippi,De Soto,1042.0,Northern Supply Access Project (FERC CP15-513)
2018.0,Texas Gas Transmission Co,South Central,Intra-regional,Texas,Panola,Louisiana,Caddo,260.0,
2018.0,Tidelands Oil & Gas Co,South Central,Mexico,Texas,Maverick,Mexico,Coahuila,15.0,
2018.0,TOMCAT Matagorda Gathering,Gulf of Mexico,South Central,Gulf of Mexico,Matagorda Island,Texas,Calhoun,450.0,TOMCAt is currently owned by Genesis Energy
2018.0,Trailblazer Pipeline Co,Mountain,Intra-regional,Colorado,Sedgwick,Nebraska,Perkins,816.0,
2018.0,Trailblazer Pipeline Co,Mountain,Intra-regional,Colorado,Weld,Wyoming,Laramie,816.0,
2018.0,Trailblazer Pipeline Co,Mountain,Intra-regional,Nebraska,Kimball,Colorado,Logan,816.0,
2018.0,Trailblazer Pipeline Co,Mountain,Intra-regional,Wyoming,Laramie,Nebraska,Kimball,816.0,
2018.0,Transcolorado Gas Trans Co,Mountain,Intra-regional,Colorado,Laplata,New Mexico,San Juan,692.0,
2018.0,Transcolorado Gas Trans Co,Mountain,Intra-regional,New Mexico,San Juan,Colorado,La Plata,250.0,
2018.0,Transcontinental Gas P L Co,South Central,Southeast,Alabama,Randolph,Georgia,Heard,4758.0,
2018.0,Transcontinental Gas P L Co,Southeast,South Central,Georgia,Heard,Alabama,Randolph,1700.0,Atlantic Sunrise Phase II FERC Docket CP15-138
2018.0,Transcontinental Gas P L Co,Southeast,Intra-regional,Georgia,Hart,South Carolina,Anderson,4199.0,
2018.0,Transcontinental Gas P L Co,Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Alabama,Mobile,612.0,
2018.0,Transcontinental Gas P L Co,Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Louisiana,Vermillion,2644.0,Combined capacity for all three LA offshore laterals
2018.0,Transcontinental Gas P L Co,Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Texas,Matagorda,400.0,
2018.0,Transcontinental Gas P L Co,Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Texas,Kenedy,200.0,
2018.0,Transcontinental Gas P L Co,South Central,Intra-regional,Louisiana,St Helena,Mississippi,Amite,3756.0,
2018.0,Transcontinental Gas P L Co,Northeast,Intra-regional,Maryland,Harford,Pennsylvania,York,2100.0,
2018.0,Transcontinental Gas P L Co,Northeast,Intra-regional,Maryland,Montgomery,Virginia,Fairfax,2251.0,Atlantic Sunrise Phase II FERC Docket CP15-138
2018.0,Transcontinental Gas P L Co,South Central,Intra-regional,Mississippi,Clarke,Alabama,Choctaw,4047.0,
2018.0,Transcontinental Gas P L Co,South Central,Intra-regional,Mississippi,Amite,Louisiana,St Helena,1200.0,Gulf Trace Expansion/Lateral (FERC CP15-29)
2018.0,Transcontinental Gas P L Co,Northeast,Intra-regional,New Jersey,Bergen,New York,New York,1696.0,New York Bay Expansion (FERC CP15-527)
2018.0,Transcontinental Gas P L Co,Northeast,Intra-regional,New Jersey,Burlington,Pennsylvania,Philadelphia,1921.0,
2018.0,Transcontinental Gas P L Co,Southeast,Intra-regional,North Carolina,Cleveland,South Carolina,Cherokee,1700.0,Atlantic Sunrise Phase II FERC Docket CP15-138
2018.0,Transcontinental Gas P L Co,Southeast,Northeast,North Carolina,Rockingham,Virginia,Pittsylvania,3035.0,
2018.0,Transcontinental Gas P L Co,Northeast,Intra-regional,Pennsylvania,Chester,Delaware,New Castle,180.0,
2018.0,Transcontinental Gas P L Co,Northeast,Intra-regional,Pennsylvania,Lancaster,Maryland,Cecil,192.0,Transco\Rock Spring lateral (FERC CP14-504). New lateral to MD powerplant.
2018.0,Transcontinental Gas P L Co,Northeast,Intra-regional,Pennsylvania,York,Maryland,Harford,2551.0,Atlantic Sunrise Phase II FERC Docket CP15-138
2018.0,Transcontinental Gas P L Co,Northeast,Intra-regional,Pennsylvania,Bucks,New Jersey,Mercer,2017.0,New York Bay Expansion (FERC CP15-527)
2018.0,Transcontinental Gas P L Co,Northeast,Intra-regional,Pennsylvania,Northhampton,New Jersey,Warren,2795.0,
2018.0,Transcontinental Gas P L Co,Southeast,Intra-regional,South Carolina,Anderson,Georgia,Hart,1700.0,Atlantic Sunrise Phase II FERC Docket CP15-138
2018.0,Transcontinental Gas P L Co,Southeast,Intra-regional,South Carolina,Cherokee,North Carolina,Cleveland,4006.0,
2018.0,Transcontinental Gas P L Co,South Central,Intra-regional,Texas,Orange,Louisiana,Calcasieu,810.0,
2018.0,Transcontinental Gas P L Co,Northeast,Intra-regional,Virginia,Fairfax,Maryland,Montgomery,2265.0,
2018.0,Transcontinental Gas P L Co,Northeast,Southeast,Virginia,Pittsylvania,North Carolina,Rockingham,1823.0,Atlantic Sunrise Phase II FERC Docket CP15-138
2018.0,Transcontinental Gas P L Co,Northeast,Southeast,Virginia,Mecklenburg,North Carolina,Warren,690.0,
2018.0,Transok Inc,South Central,Intra-regional,Oklahoma,Roger Mills,Texas,Wheeler,50.0,
2018.0,Transok Inc,South Central,Intra-regional,Texas,Hemphill,Oklahoma,Roger Mills,30.0,
2018.0,Trans-Pecos Pipeline,South Central,Mexico,Texas,Presidio,Mexico,Mexico,1400.0,New pipeline; FERC CP15-500
2018.0,Trans-Union Pipeline Co,South Central,Intra-regional,Louisiana,Union,Arkansas,Clairborne,427.0,
2018.0,Transwestern Pipeline Co,Mountain,Pacific,Arizona,Mohave,California,San Bernardino,1285.0,
2018.0,Transwestern Pipeline Co,Mountain,Intra-regional,Colorado,La Plata,New Mexico,San Juan,500.0,
2018.0,Transwestern Pipeline Co,Mountain,Intra-regional,New Mexico,Mckinlely,Arizona,Apache,1226.0,
2018.0,Transwestern Pipeline Co,Mountain,Intra-regional,New Mexico,San Juan,Colorado,La Plata,0.0,
2018.0,Transwestern Pipeline Co,Mountain,South Central,New Mexico,Curry,Texas,Parmer,795.0,
2018.0,Transwestern Pipeline Co,South Central,Intra-regional,Oklahoma,Harper,Kansas,Clark,5.0,
2018.0,Transwestern Pipeline Co,South Central,Intra-regional,Oklahoma,Texas,Texas,Sherman,115.0,
2018.0,Transwestern Pipeline Co,South Central,Mountain,Texas,Loving,New Mexico,Lea,950.0,
2018.0,Trunkline Gas Co,South Central,Intra-regional,Arkansas,Chicot,Mississippi,Washington,1598.0,
2018.0,Trunkline Gas Co,Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Louisiana,Vermilion,0.0,
2018.0,Trunkline Gas Co,Midwest,Intra-regional,Illinois,Vermillion,Indiana,Benton,745.0,
2018.0,Trunkline Gas Co,Midwest,Intra-regional,Illinois,Vermillion,Kentucky,Mccracken,750.0,Trunkline Backhaul Project (FERC CP15-96)
2018.0,Trunkline Gas Co,Midwest,Intra-regional,Indiana,Elkhart,Michigan,St Joseph,739.0,
2018.0,Trunkline Gas Co,Midwest,Intra-regional,Kentucky,Mccracken,Illinois,Massac,1544.0,
2018.0,Trunkline Gas Co,Midwest,Intra-regional,Kentucky,Fulton,Tennessee,Obion,750.0,Trunkline Backhaul Project (FERC CP15-96)
2018.0,Trunkline Gas Co,South Central,Intra-regional,Louisiana,West Carroll,Arkansas,Chicot,1598.0,
2018.0,Trunkline Gas Co,South Central,Midwest,Mississippi,Marshall,Tennessee,Shelby,1580.0,
2018.0,Trunkline Gas Co,Midwest,Intra-regional,Tennessee,Obion,Kentucky,Fulton,1570.0,
2018.0,Trunkline Gas Co,Midwest,South Central,Tennessee,Shelby,Mississippi,Marshall,750.0,Trunkline Backhaul Project (FERC CP15-96)
2018.0,Trunkline Gas Co,South Central,Intra-regional,Texas,Newton,Louisiana,Beauregard,960.0,
2018.0,Tuscarora Pipeline Co,Pacific,Mountain,California,Sierra,Nevada,Washoe,162.0,
2018.0,Tuscarora Pipeline Co,Pacific,Intra-regional,Oregon,Klamath,California,Modoc,184.0,
2018.0,Union Light Heat & Power,Midwest,Northeast,Kentucky,Kenton,Ohio,Hamilton,45.0,
2018.0,Vector Pipeline Co,Midwest,Intra-regional,Illinois,Will,Indiana,Lake,1350.0,
2018.0,Vector Pipeline Co,Midwest,Intra-regional,Indiana,St Joseph,Michigan,Berrien,1350.0,
2018.0,Vector Pipeline Co,Midwest,Canada,Michigan,St. Clair,Ontario,Lambton,1560.0,
2018.0,Vector Pipeline Co,Canada,Midwest,Ontario,Lambton,Michigan,St. Clair,1350.0,
2018.0,Venice Gathering System,Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Louisiana,Plaquemines,320.0,Capacity from Targa Resources website
2018.0,Vermont Gas Sys Inc,Canada,Northeast,Quebec,Quebec,Vermont,Franklin,62.0,
2018.0,Viking Gas Transmission Co,Canada,Midwest,Manitoba,Manitoba,Minnesota,Kittson,516.0,
2018.0,Viking Gas Transmission Co,Midwest,Mountain,Minnesota,Polk,North Dakota,Grand Forks,101.0,
2018.0,Viking Gas Transmission Co,Midwest,Intra-regional,Minnesota,Chisago,Wisconsin,Polk,437.0,
2018.0,Viosca Knoll Gathering,Gulf of Mexico,Intra-regional,Gulf of Mexico - Deepwater,Viosca Knoll 817,Gulf of Mexico,Viosca Knoll,600.0,"Connects to varrios offshore systems (Destin, DIGS, Transco, & High Point)"
2018.0,Washington Gas Light Co,Northeast,Intra-regional,Maryland,Montgomery,District of Columbia,District Columbia,80.0,
2018.0,Washington Gas Light Co,Northeast,Intra-regional,Virginia,Arlington,District of Columbia,District Columbia,180.0,
2018.0,WBI Energy Transmission,Midwest,Mountain,Minnesota,Clay,North Dakota,Cass,33.0,Valley Expansion Project FERC Docket CP17-257
2018.0,WBI Energy Transmission,Mountain,Intra-regional,Montana,Wibaux,North Dakota,Golden Valley,542.0,
2018.0,WBI Energy Transmission,Mountain,Intra-regional,Montana,Carbon,Wyoming,Park,275.0,
2018.0,WBI Energy Transmission,Mountain,Intra-regional,North Dakota,Bowman,Montana,Fallon,268.0,
2018.0,WBI Energy Transmission,Mountain,Intra-regional,North Dakota,Bowman,South Dakota,Harding,54.0,
2018.0,WBI Energy Transmission,Canada,Mountain,Saskatchewan,Saskatchewan,North Dakota,Burke,46.0,
2018.0,WBI Energy Transmission,Mountain,Intra-regional,South Dakota,Harding,North Dakota,Bowman,53.0,
2018.0,WBI Energy Transmission,Mountain,Intra-regional,South Dakota,Butte,Wyoming,Crook,85.0,
2018.0,WBI Energy Transmission,Mountain,Intra-regional,Wyoming,Park,Montana,Carbon,421.0,
2018.0,WBI Energy Transmission,Mountain,Intra-regional,Wyoming,Crook,South Dakota,Butte,27.0,
2018.0,West Texas Gas Co,South Central,Mexico,Texas,Val Verde,Mexico,Coahuila,25.0,
2018.0,West Texas Gas Co,South Central,Mexico,Texas,Maverick,Mexico,Coahuila,38.0,
2018.0,Western Gas Interstate Co,South Central,Intra-regional,Texas,Sherman,Oklahoma,Texas,91.0,
2018.0,Westgas Interstate Gas,Mountain,Intra-regional,Colorado,Larimer,Wyoming,Laramie,13.0,
2018.0,Wyoming Interstate Co,Mountain,Intra-regional,Colorado,Moffet,Wyoming,Sweetwater,341.0,
2018.0,Wyoming Interstate Co,Mountain,Intra-regional,Utah,Daggett,Wyoming,Sweetwater,586.0,
2018.0,Wyoming Interstate Co,Mountain,Intra-regional,Wyoming,Laramine,Colorado,Weld,2477.0,Cheyenne Compressor Station Expansion Project (CP18-117)
2017.0,Algonquin Gas Trans Co,Northeast,Intra-regional,Connecticut,Fairfield,New York,Putnam,275.0,
2017.0,Algonquin Gas Trans Co,Northeast,Intra-regional,Connecticut,Windham,Rhode Island,Providence,1142.0,Atlantic Bridge Phase I FERC Docket CP16-9
2017.0,Algonquin Gas Trans Co,Northeast,Intra-regional,Massachusetts,Worcester,Rhode Island,Providence,275.0,
2017.0,Algonquin Gas Trans Co,Northeast,Intra-regional,New Jersey,Bergen,New York,Rockland,1532.0,Atlantic Bridge Phase I FERC Docket CP16-9
2017.0,Algonquin Gas Trans Co,Northeast,Intra-regional,New York,Putnam,Connecticut,Fairfield,1737.0,Atlantic Bridge Phase I FERC Docket CP16-9
2017.0,Algonquin Gas Trans Co,Northeast,Intra-regional,New York,Rockland,New Jersey,Bergen,275.0,
2017.0,Algonquin Gas Trans Co,Northeast,Intra-regional,Rhode Island,Providence,Connecticut,Windham,275.0,
2017.0,Algonquin Gas Trans Co,Northeast,Intra-regional,Rhode Island,Providence,Massachusetts,Worcester,1087.0,Atlantic Bridge Phase I FERC Docket CP16-9
2017.0,Alliance Pipeline Co,Midwest,Intra-regional,Iowa,Scott,Illinois,Rock Island,1875.0,
2017.0,Alliance Pipeline Co,Midwest,Intra-regional,Minnesota,Mower,Iowa,Mitchell,1875.0,
2017.0,Alliance Pipeline Co,Mountain,Midwest,North Dakota,Roberts,Minnesota,Traverse,1875.0,
2017.0,Alliance Pipeline Co,Canada,Mountain,Saskatchewan,Saskatchewan,North Dakota,Renville,1875.0,
2017.0,"American Midstream (AlaTenn), LLC",South Central,Intra-regional,Mississippi,Tishomingo,Alabama,Colbert,35.0,
2017.0,"American Midstream (AlaTenn), LLC",South Central,Midwest,Mississippi,Alcorn,Tennessee,Mcnairy,91.0,
2017.0,American Midstream (Midla),South Central,Intra-regional,Louisiana,Concordia,Mississippi,Adams,70.0,
2017.0,American Midstream (Midla),South Central,Intra-regional,Mississippi,Wilkinson,Louisiana,West Feliciana,70.0,
2017.0,Anaconda Gathering System,Gulf of Mexico,Intra-regional,Gulf of Mexico - Deepwater,Green Canyon 608,Gulf of Mexico,Ship Shoal 207,550.0,
2017.0,ANR Pipeline Co,South Central,Intra-regional,Arkansas,Chicot,Louisiana,West Carroll,1150.0,Updated from Genscape/informational postings
2017.0,ANR Pipeline Co,South Central,Intra-regional,Arkansas,Chicot,Mississippi,Washington,1430.0,
2017.0,ANR Pipeline Co,Midwest,Intra-regional,Illinois,Cook,Indiana,Lake,1384.0,
2017.0,ANR Pipeline Co,Midwest,Intra-regional,Illinois,Mc Herny,Wisconsin,Walworth,1610.0,
2017.0,ANR Pipeline Co,Midwest,Intra-regional,Indiana,Lake,Illinois,Cook,1384.0,
2017.0,ANR Pipeline Co,Midwest,Intra-regional,Indiana,Spencer,Kentucky,Daviees,750.0,
2017.0,ANR Pipeline Co,Midwest,Intra-regional,Indiana,Elkhart,Michigan,Cass,1520.0,
2017.0,ANR Pipeline Co,Midwest,Northeast,Indiana,Steuben,Ohio,Williams,1748.0,
2017.0,ANR Pipeline Co,Midwest,Intra-regional,Iowa,Louisa,Illinois,Mercer,653.0,
2017.0,ANR Pipeline Co,South Central,Mountain,Kansas,Brown,Nebraska,Richardson,693.0,
2017.0,ANR Pipeline Co,Midwest,Intra-regional,Kentucky,Daviees,Indiana,Spencer,1386.0,
2017.0,ANR Pipeline Co,Midwest,Intra-regional,Kentucky,Calloway,Tennessee,Henry,750.0,
2017.0,ANR Pipeline Co,South Central,Intra-regional,Louisiana,West Carroll,Arkansas,Chicot,1430.0,
2017.0,ANR Pipeline Co,Midwest,Intra-regional,Michigan,Cass,Indiana,Elkhart,1567.0,
2017.0,ANR Pipeline Co,Midwest,Northeast,Michigan,Lawnee,Ohio,Fulton,100.0,
2017.0,ANR Pipeline Co,Midwest,Canada,Michigan,St. Clair,Ontario,Ontario,150.0,
2017.0,ANR Pipeline Co,Midwest,Intra-regional,Michigan,Iron,Wisconsin,Florence,860.0,
2017.0,ANR Pipeline Co,South Central,Intra-regional,Mississippi,Washington,Arkansas,Chicot,1150.0,Updated from Genscape/informational postings
2017.0,ANR Pipeline Co,South Central,Midwest,Mississippi,Marshall,Tennessee,Fayette,1753.0,
2017.0,ANR Pipeline Co,Midwest,Intra-regional,Missouri,Harrison,Iowa,Decatur,680.0,
2017.0,ANR Pipeline Co,Mountain,Midwest,Nebraska,Richardson,Missouri,Holt,693.0,
2017.0,ANR Pipeline Co,Northeast,Midwest,Ohio,Williams,Indiana,Steuben,452.0,
2017.0,ANR Pipeline Co,Northeast,Midwest,Ohio,Fulton,Michigan,Lawnee,932.0,
2017.0,ANR Pipeline Co,South Central,Intra-regional,Oklahoma,Beaver,Kansas,Meade,853.0,
2017.0,ANR Pipeline Co,South Central,Intra-regional,Oklahoma,Beckham,Texas,Wheeler,180.0,
2017.0,ANR Pipeline Co,Midwest,Intra-regional,Tennessee,Henry,Kentucky,Calloway,1398.0,
2017.0,ANR Pipeline Co,Midwest,South Central,Tennessee,Fayette,Mississippi,Marshall,1375.0,Updated from Genscape/informational postings
2017.0,ANR Pipeline Co,South Central,Intra-regional,Texas,Wheeler,Oklahoma,Roger Mills,580.0,
2017.0,ANR Pipeline Co,Midwest,Intra-regional,Wisconsin,Walworth,Illinois,Mc Herny,700.0,
2017.0,ANR Pipeline Co,Midwest,Intra-regional,Wisconsin,Marinette,Michigan,Menominee,148.0,
2017.0,Arkansas Oklahoma Gas Corp,South Central,Intra-regional,Arkansas,Le Flore,Oklahoma,Sebastian,20.0,
2017.0,Arkansas Oklahoma Gas Corp,South Central,Intra-regional,Oklahoma,Sequoyah,Arkansas,Sebastian,18.0,
2017.0,Bison Pipeline LLC,Mountain,Intra-regional,Montana,Fallon,North Dakota,Bowman,477.0,
2017.0,Bison Pipeline LLC,Mountain,Intra-regional,Wyoming,Campbell,Montana,Powder River,477.0,
2017.0,Black Marlin Pipeline Co,Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Texas,Galveston,163.0,
2017.0,Blue Dolphin Pipeline Co,Gulf of Mexico,South Central,Gulf of Mexico,Galveston Area 350,Texas,Brazoria,235.0,
2017.0,Bluefield Gas Co,Northeast,Intra-regional,West Virginia,Mercer,Virginia,Tazwell,12.0,
2017.0,Bluewater Pipeline Co,Midwest,Canada,Michigan,St. Clair,Ontario,Sarnia,500.0,
2017.0,Bluewater Pipeline Co,Canada,Midwest,Ontario,Sarnia,Michigan,St. Clair,250.0,
2017.0,B-R Pipeline Co,Midwest,South Central,Tennessee,Marion,Alabama,Jackson,21.0,
2017.0,Canyon Chief,Gulf of Mexico,Intra-regional,Gulf of Mexico - Deepwater,Gulf Of Mexico,Gulf of Mexico,Main Pass 261A,500.0,
2017.0,Centra Minnesota Pipeline Inc,Canada,Midwest,Manitoba,Manitoba,Minnesota,Roseau,63.0,
2017.0,Centra Minnesota Pipeline Inc,Midwest,Canada,Minnesota,Lake Of The Woods,Ontario,Ontario,63.0,
2017.0,Centra Minnesota Pipeline Inc,Canada,Midwest,Ontario,Ontario,Minnesota,Koochiching,25.0,
2017.0,Central New York Oil and Gas Company,Northeast,Intra-regional,New York,Tioga,Pennsylvania,Bradford,812.0,
2017.0,Central New York Oil and Gas Company,Northeast,Intra-regional,Pennsylvania,Bradford,New York,Tioga,812.0,
2017.0,Chandeleur Pipeline Co,Gulf of Mexico,South Central,Gulf of Mexico,Mobile,Alabama,Gulf Of Mexico,75.0,
2017.0,Chandeleur Pipeline Co,Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Mississippi,Jackson,322.0,
2017.0,Cheyenne Plains Pipeline,Mountain,South Central,Colorado,Kit Carson,Kansas,Sherman,820.0,
2017.0,Chinook Pipeline Co,Mountain,Canada,Montana,Blaine,Saskatchewan,Saskatchewan,15.0,
2017.0,Colorado Interstate Gas,Mountain,South Central,Colorado,Baca,Kansas,Morton,463.0,
2017.0,Colorado Interstate Gas,Mountain,South Central,Colorado,Baca,Oklahoma,Cimarron,514.0,
2017.0,Colorado Interstate Gas,Mountain,Intra-regional,Colorado,Moffat,Wyoming,Sweetwater,180.0,
2017.0,Colorado Interstate Gas,South Central,Mountain,Kansas,Morton,Colorado,Baca,340.0,
2017.0,Colorado Interstate Gas,South Central,Intra-regional,Kansas,Baca,Oklahoma,Cimarron,323.0,
2017.0,Colorado Interstate Gas,South Central,Mountain,Oklahoma,Cimarron,Colorado,Baca,200.0,
2017.0,Colorado Interstate Gas,South Central,Intra-regional,Oklahoma,Cimarron,Texas,Sherman,284.0,
2017.0,Colorado Interstate Gas,South Central,Intra-regional,Texas,Sherman,Oklahoma,Cimarron,200.0,
2017.0,Colorado Interstate Gas,Mountain,Intra-regional,Utah,Uintah,Colorado,Rio Blanco,165.0,
2017.0,Colorado Interstate Gas,Mountain,Intra-regional,Wyoming,Laramie,Colorado,Weld,625.0,
2017.0,Colorado Interstate Gas,Mountain,Intra-regional,Wyoming,Park,Montana,Carbon,60.0,
2017.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Delaware,New Castle,New Jersey,Gloucester,141.0,
2017.0,Columbia Gas Trans Corp,Midwest,Northeast,Kentucky,Mason,Ohio,Adams,57.0,
2017.0,Columbia Gas Trans Corp,Midwest,Northeast,Kentucky,Boyd,West Virginia,Wayne,2162.0,
2017.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Maryland,Cecil,Pennsylvania,Lancaster,206.0,
2017.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Maryland,Allegany,West Virginia,Mineral,5.0,
2017.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Ohio,Columbiana,Pennsylvania,Beaver,7.0,
2017.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Ohio,Gallia,West Virginia,Mason,15.0,
2017.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Pennsylvania,Delaware,Delaware,New Castle,174.0,
2017.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Pennsylvania,Fulton,Maryland,Washington,57.0,
2017.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Pennsylvania,Northampton,New Jersey,Warren,423.0,
2017.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Pennsylvania,Pike,New York,Orange,281.0,
2017.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Pennsylvania,Fayette,West Virginia,Monongalia,1285.0,Updated 4/12/18 KDL
2017.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Pennsylvania,Washington,West Virginia,Brooke,1095.0,
2017.0,Columbia Gas Trans Corp,Northeast,Intra-regional,Virginia,Fairfax,Maryland,Montgomery,1180.0,
2017.0,Columbia Gas Trans Corp,Northeast,Southeast,Virginia,Greenville,North Carolina,Northampton,37.0,
2017.0,Columbia Gas Trans Corp,Northeast,Midwest,West Virginia,Mingo,Kentucky,Martin,76.0,
2017.0,Columbia Gas Trans Corp,Northeast,Midwest,West Virginia,Wayne,Kentucky,Boyd,1723.0,Updated 4/25/18; Leach MA19 Nominations
2017.0,Columbia Gas Trans Corp,Northeast,Intra-regional,West Virginia,Mineral,Maryland,Garret,4.0,
2017.0,Columbia Gas Trans Corp,Northeast,Intra-regional,West Virginia,Mason,Ohio,Gallia,896.0,
2017.0,Columbia Gas Trans Corp,Northeast,Intra-regional,West Virginia,Monongalia,Pennsylvania,Fayette,1275.0,
2017.0,Columbia Gas Trans Corp,Northeast,Intra-regional,West Virginia,Hardy,Virginia,Shenandoah,2144.0,
2017.0,Columbia Gulf Trans Co,Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Louisiana,Vermillion,0.0,
2017.0,Columbia Gulf Trans Co,Midwest,Intra-regional,Kentucky,Macon,Tennessee,Monroe,1856.0,Rayne Xpress
2017.0,Columbia Gulf Trans Co,South Central,Intra-regional,Louisiana,Richland,Mississippi,Warren,2576.0,
2017.0,Columbia Gulf Trans Co,South Central,Intra-regional,Mississippi,Warren,Louisiana,Richland,2185.0,Rayne Xpress
2017.0,Columbia Gulf Trans Co,South Central,Midwest,Mississippi,Tishomingo,Tennessee,Hardin,2268.0,
2017.0,Columbia Gulf Trans Co,Midwest,Intra-regional,Tennessee,Monroe,Kentucky,Macon,2317.0,
2017.0,Columbia Gulf Trans Co,Midwest,South Central,Tennessee,Monroe,Mississippi,Corinth,1852.0,Rayne Xpress
2017.0,Comanche Trail Pipeline,South Central,Mexico,Texas,El Paso,Mexico,Mexico,1100.0,New pipeline; FERC CP15-503
2017.0,Connector Pipeline Co,Canada,Mountain,Alberta,Alberta,Montana,Glacier,20.0,
2017.0,Crossroads Pipeline Co,Midwest,Northeast,Indiana,De Kalb,Ohio,Defiance,250.0,
2017.0,Dauphin Island Gathering System,Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Alabama,Mobile,1100.0,
2017.0,Delfin LNG (UTOS Pipeline),Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Louisiana,Cameron,1040.0,
2017.0,Delta Natural Gas Co,Midwest,Intra-regional,Kentucky,Whitley,Tennessee,Campbell,5.0,
2017.0,Destin Pipeline Co,Gulf of Mexico,South Central,Gulf of Mexico,Viosca Knoll 900,Mississippi,Jackson,1000.0,
2017.0,Discovery PL Co,Gulf of Mexico,South Central,Gulf of Mexico,Ewing Bank 873,Louisiana,Lafourche,750.0,
2017.0,Dominion Carolina Gas Transmission,Southeast,Intra-regional,Georgia,Effingham,South Carolina,Jasper,190.0,
2017.0,Dominion Carolina Gas Transmission,Southeast,Intra-regional,South Carolina,Jasper,Georgia,Chatham,190.0,
2017.0,Dominion Cove Point LNG LP,Northeast,Intra-regional,Maryland,Charles,Virginia,Fairfax,1385.0,
2017.0,Dominion Cove Point LNG LP,Northeast,Intra-regional,Virginia,Fairfax,Maryland,Charles,1257.0,Dominion Cove Point Keyes Energy Center (FERC CP15-24)
2017.0,Dominion Transmission Co,Northeast,Intra-regional,Maryland,Washington,Pennsylvania,Franklin,700.0,
